id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15767548,Beacon Hill! 2BR 2Bth Fully Renovated & Very Clean,101959816,Ashley,,Beacon Hill,42.36081701442763,-71.06551678361451,Entire home/apt,331,2,103,2018-08-06,4.99,1,233
15769929,Amazing 5 bed w/PARKING near Downtown BU BC MIT,16635191,Fred,,Allston,42.34852564579505,-71.13979073361571,Entire home/apt,189,2,88,2018-07-30,5.21,2,0
15772120,"Room in spacious apartment, Beacon Hill",101996844,Charlie,,Beacon Hill,42.36063720040952,-71.06678593389947,Private room,40,6,1,2017-02-07,0.05,1,0
15773147,Marco and Marcela's large bright room by JFK/UMASS,57812241,Alexia,,Dorchester,42.31960240413105,-71.05703075514771,Private room,75,8,11,2018-07-13,0.62,7,97
15773389,Single room across from Fenway Park,78923625,Zac,,Fenway,42.34708821001718,-71.09428559706531,Private room,54,1,3,2017-06-29,0.21,1,0
15796872,"Bedroom, living rm, kitchen guest house w/parking",102202190,Maureen,,Brighton,42.35001900333338,-71.17018037451638,Entire home/apt,119,1,89,2018-08-15,5.72,1,1
15797699,Beautiful 1 Bed with excellent location!,28123912,Ned,,Downtown,42.358615608722005,-71.06279661751854,Entire home/apt,160,1,67,2018-07-27,3.16,3,85
15799850,Luxury Furnished 1 Bedroom Aptartment,30283594,Kara,,Fenway,42.3453051158111,-71.09892916254739,Entire home/apt,169,30,0,,,188,355
15819226,Historic Back Bay Condo,5139380,Cheryl,,Back Bay,42.351725562874016,-71.08641313902612,Entire home/apt,350,2,17,2018-08-06,1.04,1,74
15821724,Upscale Private 2 Bedroom Suite w/Kitchen and Bath,44448784,Peter,,Dorchester,42.280480472562814,-71.069781628999,Entire home/apt,100,2,14,2018-08-05,5.45,1,7
